feature,importance_mean,importance_std
thermoprot_probability,0.39794564495351725,0.022901771496522182
secondary_structure_fraction_helix,0.07543956914371337,0.013169381553794228
molecular_weight,0.06017857757676318,0.0076399673374427084
salt_bridge_proxy,0.0594770579051341,0.012319626996784166
length,0.057960301187204265,0.009805865565727752
instability_index,0.057835543944118994,0.012330559861070244
secondary_structure_fraction_sheet,0.05640973311697668,0.013281473673661327
hbond_proxy,0.05318712978689498,0.006770717033685977
secondary_structure_fraction_turn,0.048502406982811205,0.013815057815198713
predicted_pI,0.046195698289208456,0.004728665610861989
gravy,0.04472303666269391,0.0063065068194253435
aromaticity,0.04214530045096353,0.004564782056077683
disulfide_count,0.0,0.0
