pH_RANGE,ORGANISM,UNIPROT,COMMENTARY,LITERATURE
2.5 - 7.5,Penicillium sclerotiorum,-,"activity range, 60% of
maximal activity by
xylanase II at pH 3.5
and pH 7.0, 25% at pH
2.5, profile, overview",707211
2.6 - 7.6,Penicillium griseofulvum,-,"50% of maximal
activity at pH 3.5 to
pH 5.5",707567
2.8 - 7.5,Aspergillus niger,-,"pH 2.8: about 30% of
maximal activity, pH
7.5: about 40% of
maximal activity",171599
3 - 10,"Bacillus
amyloliquefaciens",-,"about 40% of maximal
activity at pH 3.0 and
at pH 10.0",171646
3 - 10,Penicillium citrinum,B1B533,"retains more than 80%
of the original activity",699042
3 - 10,Termitomyces clypeatus,-,"profile, overview",
3 - 11,Demequina sp. JK4,B9VSZ3,"enzyme assay range,
over 50% of maximal",709491
3 - 11,"Thermomyces
lanuginosus",O43097,-,731025
3 - 11,Thermotoga petrophila,A5IL00,"pH 3.0: about 35% of
maximal activity, pH
11.0: about 40% of
maximal activity",748630
3 - 7.5,Trichoderma reesei,P36218,-,657221
3 - 8,Aspergillus niger,-,"pH 3.0: about 90% of
maximal activity, pH
8.0: about 25% of
maximal activity,
xylanase IB",171633
3 - 8,Bacillus cereus,-,"the enzyme displays
pH activity ranging
from 3.0 to 8.0",770012
3 - 8,Trichoderma reesei,B2CNY5,-,707864
3 - 8,,B2CNY5,"activity range, 40% of
maximal activity at pH
3.0 and pH 8.0",709576
3 - 8,,-,"activity range, profile,
overview",707911
3 - 9,Aspergillus fumigatus,-,"about 47 and 41%
activity is observed at
pH 8 and 9,
respectively",682991
3 - 9,"Streptomyces
thermocyaneoviolaceus",Q9RMM4,"native enzyme,
activity range, profile,
overview",707809
3 - 9,"Thermoascus
aurantiacus",-,"more than 80% of
maximum activity",742959
3 - 9,"Thermomyces
lanuginosus",-,-,655088
3.5 - 5,"Saccharolobus solfataricus
solfataricus",Q97YG7,"pH 3.5: about 55% of
maximal activity, pH
5.0: about 65% of
maximal activity",692258
3.5 - 5.5,Fusarium oxysporum,-,"more than 75% of
maximal activity at pH
3.5 and at pH 5.5",171637
3.5 - 6.5,Aspergillus niger,-,"pH 3.5: about 40% of
maximal activity, pH
6.5: about 35% of
maximal activity",171598
3.5 - 6.5,Penicillium citrinum,Q2PGY1,"recombinant enzyme,
over 50% of maximal
activity within this
range, profile overview",752115
3.5 - 7,Kitasatospora sp.,"A0A3T0YV67,
A0A3T0YV60","50% of maximal
activity within this
range, acetate and
citrate buffer, profile
overview",750084
3.5 - 7,Trichoderma viride,-,"less than 50% of
maximal activity only","
171623"
3.5 - 7.5,"Thermoascus
aurantiacus",-,"12% of maximal
activity at pH 3.5 and
at pH 7.5",171601
3.5 - 8,Aspergillus niger,-,"pH 3.5: about 70% of
maximal activity, pH
8.0: about 30% of
maximal activity,
xylanase IA",171633
3.5 - 8.5,"Acidothermus
cellulolyticus",A0LR95,"activity range,
recombinant enzyme,
profile overview",750497
3.5 - 9.5,"Thermochaetoides
thermophila",G0S9G3,"activity range, profile
overview",750799
3.6 - 6.5,Aspergillus niger,-,"more than 50%
maximal activity",679573
3.8 - 9.4,Alicyclobacillus sp.,D3VWB5,"XynA4 shows over
40% of maximal
activity within this
range",717947
4 - 11,"uncultured
microorganism",E2DQY5,activity range,717134
4 - 11,Bacillus subtilis,P18429,"activity range, pH
dependency of
recombinant His-
tagged wild-type and
mutant enzymes,
overview",710466
4 - 11,"Paenibacillus
campinasensis",Q2I6W5,"activity range,
correlation with
temperature, overview",718337
4 - 5.5,Streptomyces sp.,-,"86% of maximal
activity at pH 4.0, 97%
at pH 8.0, 30% activity
at pH 10.0-12.0",654144
4 - 5.5,"Aureobasidium
melanogenum",-,"more than 50%
activity between pH
4.0 and 5.5, but at pH
values higher than 5.5,
the enzymatic activity
drops considerably
(less than 30% relative
activity)",776226
4 - 6,"Thermoanaerobacterium sacchsrolyticum
saccharolyticum",P36917,"the optimum pH is
slightly acidic, ranging
from pH 4.0 to 6.0,
with no significant
difference. At pH 7.0,
enzyme activity
rapidly decreases to
less than 60%, which
is further reduced to
16.3% at pH 9.0. At pH
10.0 and 11.0, the
enzymatic activity is
almost zero","775899
"
,,,,
4 - 7,"Thermochaetoides
thermophila",G0S9G3,"pH 4.0: about 85% of
maximal activity, pH
7.0: about 45% of
maximal activity,
substrate: xylan",750799
4 - 7,,G0S9G3,"pH 4.0: about 75% of
maximal activity, pH
7.0: about 35% of
maximal activity,
substrate:
carboxymethyl
cellulose",750799
4 - 8,"Acidothermus
cellulolyticus",-,"activity range, at pH
8.0 activity occurs
only up to 70°C, at pH
7.0 up to 90°C, at pH
4.0 activity occurs at
90-100°C, overview",717123
4 - 8,Cellulomonas flavigena,-,"more than 50% of
maximum activity",746350
4 - 8,Penicillium canescens,C3VEV9,-,729182
4 - 8,"Streptomyces
griseorubens",-,"more than 80% of
maxiumum activity",745416
4 - 8.5,"Acrophialophora
nainiana",-,"50% of maximal
activity at pH 4.0 and
pH 8.5",655620
4 - 8.5,Rhizomucor miehei,-,activity range,717022
4 - 8.5,"Thermopolyspora
flexuosa",-,-,707229
4 - 9,Pediococcus acidilactici,-,"native extracellular
enzyme, over 50%
activity within this
range, profile overview",750814
4 - 9,Trichoderma sp.,-,"activity range of EX1
and EX2, profiles,
overview",707762
4.5 - 10,Thermobifida alba,-,"pH 4.5: about 55% of
maximal activity, pH
10.0: about 60% of
maximal activity",171636
4.5 - 10,"Thermothielavioides
terrestris",-,"more than 90% of
maximum activity",742470
4.5 - 10.5,"Streptomyces
thermocarboxydus",C6ZHB0,"activity range, over
85% of its maximum
activity at a pH range
of pH 5.0 to pH 6.5",709555
4.5 - 6.5,Fusarium oxysporum,-,"more than 70% of
maximum activity
within this range",663671
4.5 - 6.5,Kitasatospora sp.,"A0A3T0YV67,
A0A3T0YV60","50% of maximal
activity within this
range, acetate and
phosphate buffer,
profile overview","750084
"
4.5 - 6.5,,,,"750084
"
4.5 - 6.5,Penicillium griseofulvum,-,"displays over 50%
activity in the pH",677745
,,,,
