TEMPERATURE,ORGANISM,UNIPROT,COMMENTARY,LITERATURE
,TEMPERATURERANGE,ORGANISM,UNIPROT,COMMENTARY
40 - 60,Trichoderma harzianum,-,"40°C, about 70% ofmaximal activity,60°C: about 30% ofmaximal activity,20000 Da xylanase",171613
40 - 60,Trichoderma sp. TP3-36,-,more than 50%activity between 40and 60°C,776215
40 - 63,Aspergillus ﬂavus,B8NJ86,"over 50% of maximalactivity within thisrange, proﬁleoverview",750988
40 - 65,Alicyclobacillus sp.,D3VWB5,XynA4 shows over50% of maximalactivity within thisrange,717947
40 - 70,Acetivibrio thermocellus,A3DJS9,more than 95% ofmaximum activity,737360
40 - 70,Evansstolkia leycettana,-,"the enzyme showsabout 50% activity at40 C and 40% activityat 70 C. At roomtemperature (23 C),the enzyme is almost",774449
40 - 70,,,inactive(approximately 1%activity),
40 - 70,Fusarium proliferatum,-,89% of maximalactivity at 60°C and14% at 70°C,657201
40 - 70,Streptomyces lividans,-,"40°C: about 50% ofmaximal activity,70°C: about 25% ofmaximal activity",171608
40 - 70,Streptomyces sp. T7,-,"the enzyme showsapproximately 60% ofthe maximum activitywhen assayedbetween 40 and70°C, while more than40% of the enzymeactivity below 20°C orabove 80°C",774465
40 - 75,Bacillus sp. (in:ﬁrmicutes),-,"40°C: about 25% ofmaximal activity ofenzyme from strainW1, about 30% ofmaximal activity ofenzyme from strainW3, 75°C: about 30%of maximal activity,enzyme from strainW1 and W3",171621
40 - 80,Bacillus sp. (in:ﬁrmicutes),-,"40°C: about 20% ofmaximal activity,80°C: about 45% ofmaximal activity",171656
40 - 80,Caldicellulosiruptorsaccharolyticus,-,"40°C: about 30% ofmaximal activity,80°C: about 20% ofmaximal activity",171655
40 - 80,Niallia circulans,-,-,678008
40 - 80,Paenibacilluscampinasensis,Q2I6W5,"activity range,correlation with pH,overview",718337
40 - 80,Saccharopolysporapathumthaniensis,E1APH5,"activity range, proﬁle,overview",717401
40 - 80,Thermochaetoidesthermophila,G0S9G3,"40°C: about 40% ofmaximal activity,80°C: about 50% ofmaximal activity,substrate: xylan",750799
40 - 80,,G0S9G3,"40°C: about 50% ofmaximal activity,80°C: about 50% ofmaximal activity,substrate:carboxymethylcellulose",750799
40 - 85,Acidothermuscellulolyticus,A0LR95,"activity range,inactive below andabove, recombinantenzyme, proﬁleoverview",750497
40 - 85,[Caldibacillus]cellulovorans,Q9L8L8,recombinantcatalytic domain,656718
40 - 90,Bacillusamyloliquefaciens,-,"40°C: about 50% ofmaximal activity,90°C: about 85% ofmaximal activity",171646
40 - 90,Bacillus sp. (in:ﬁrmicutes),-,activity range,717105
40 - 90,Rhizomucor miehei,-,activity range,717022
40 - 90,Talaromycespurpureogenus,A0A2H4RAC5,"recombinant enzyme,over 80% of maximalactivity within thisrange",749635
45 - 55,Fusarium oxysporum,-,more than 70% ofmaximum activitywithin this range,663671
45 - 75,Bacillus pumilus,-,at least 50% activitybetween 45 and 75°C,769914
45 - 85,Geobacillusstearothermophilus,-,"45°C: 28% of maximalactivity, 85°C: 74% ofmaximal activity",171651
5 - 35,Pseudoalteromonashaloplanktis,Q8RJN8,60% of maximalactivity at 5°C,656075
50,Streptomyces coelicolor,Q8CJQ1,98% of maximumactivity,737481
50,Thermoascusaurantiacus,-,"assay at, about 70%of maximum activity",742959
50,Thermoascusaurantiacus var.levisporus,-,80% of maximumactivity,743330
50 - 100,Bacillus subtilis,-,"50°C: about 50% ofmaximal activity,100°C: maximalactivity",751229
50 - 100,Thermobiﬁda alba,-,"50°C: about 40% ofmaximal activity,100°C: about 65% ofmaximal activity",171636
50 - 55,Alternaria mali,-,-,695683
50 - 65,Acrophialophoranainiana,-,rapid decline ofactivity at 65°C,655620
50 - 70,Aspergillus niger,-,activity at 50°C isabout 20% highercompared to activityat 70°C,737497
50 - 70,Rhodothermaceaebacterium RA,A0A1V0DJ74,the enzyme retainsmore than 60% of itsmaximal activity at atemperature rangingfrom 50 to 70Â°C,775585
50 - 70,Streptomyces lividans,-,"50°C: about 60% ofmaximal activity,70°C: about 75% ofmaximal activity",171606
