organism_type,count,mean,median,std,min,max,metric,group_col,gh_family
,12,6.083333333333333,6.0,1.18615753463429,3.5,7.8,optimum_pH_x,gh_family,GH10
,11,6.081818181818182,6.0,0.8109478180723857,5.0,7.8,optimum_pH_x,gh_family,GH11
bacterial,80,-5.7643125,-5.88,0.6747962579291544,-7.255,-3.405,vina_xylobiose_score,organism_type,
fungal,65,-5.9042615384615384,-5.926,0.5549900414906974,-7.046,-4.73,vina_xylobiose_score,organism_type,
,73,-5.753054794520548,-5.793,0.6323892720471344,-7.255,-3.405,vina_xylobiose_score,gh_family,GH10
,72,-5.902069444444445,-6.0495,0.6142561590349443,-7.046,-4.69,vina_xylobiose_score,gh_family,GH11
bacterial,80,-7.528125,-7.588,0.8506245862358205,-9.189,-4.876,vina_xylotriose_score,organism_type,
fungal,65,-7.624707692307692,-7.665,0.775866949029377,-8.933,-5.559,vina_xylotriose_score,organism_type,
,73,-7.455109589041095,-7.343,0.8706766774827087,-9.189,-4.876,vina_xylotriose_score,gh_family,GH10
,72,-7.6893472222222226,-7.788,0.745423032550621,-8.933,-5.851,vina_xylotriose_score,gh_family,GH11
bacterial,80,0.6128084415584416,0.6428571428571429,0.17527175530627395,0.0,1.0,vina_xylobiose_score_norm,organism_type,
fungal,65,0.6491588411588411,0.6548051948051948,0.14415325753005123,0.3441558441558443,0.9457142857142858,vina_xylobiose_score_norm,organism_type,
,73,0.6098843622131294,0.6202597402597403,0.1642569537784765,0.0,1.0,vina_xylobiose_score_norm,gh_family,GH10
,72,0.6485894660894661,0.6868831168831169,0.1595470542947908,0.3337662337662339,0.9457142857142858,vina_xylobiose_score_norm,gh_family,GH11
bacterial,80,0.6149142128448875,0.6287966612566659,0.19722341438345017,0.0,1.0,vina_xylotriose_score_norm,organism_type,
fungal,65,0.6373076031318554,0.6466496638070948,0.1798903197378569,0.1583584511940644,0.9406445629492232,vina_xylotriose_score_norm,organism_type,
,73,0.5979850658569663,0.5719916531416647,0.20187263563243882,0.0,1.0,vina_xylotriose_score_norm,gh_family,GH10
,72,0.6522947419944869,0.6751680964525852,0.17283167923733384,0.2260607465801065,0.9406445629492232,vina_xylotriose_score_norm,gh_family,GH11
bacterial,80,0.6138613272016645,0.6220853445186856,0.16694865536188802,0.0,0.9240774643858344,docking_score_mean_norm,organism_type,
fungal,65,0.6432332221453483,0.6452046817082755,0.14895092976587979,0.3072311736489802,0.9271812791891624,docking_score_mean_norm,organism_type,
,73,0.6039347140350478,0.578229002622696,0.16549902378565473,0.0,0.9240774643858344,docking_score_mean_norm,gh_family,GH10
,72,0.6504421040419764,0.6760220234205859,0.15022357670654876,0.2812121914718715,0.9271812791891624,docking_score_mean_norm,gh_family,GH11
bacterial,80,75.1,76.5,40.0593230982328,2.0,145.0,rank_docking,organism_type,
fungal,65,70.41538461538461,67.0,44.45464412876775,1.0,142.0,rank_docking,organism_type,
,73,78.32876712328768,86.0,39.497909506749195,2.0,145.0,rank_docking,gh_family,GH10
,72,67.59722222222223,61.5,44.013333358222646,1.0,143.0,rank_docking,gh_family,GH11
bacterial,20,0.6845,0.665,0.4142269273821066,0.03,1.39,dbd2_score,organism_type,
,19,0.6589473684210526,0.64,0.4090625425808259,0.03,1.39,dbd2_score,gh_family,GH10
,1,1.17,1.17,,1.17,1.17,dbd2_score,gh_family,GH11
bacterial,20,0.32589999999999997,0.254,0.43684718513216353,-0.243,1.684,duet_best_ddg,organism_type,
,19,0.3279473684210526,0.249,0.4487192234799706,-0.243,1.684,duet_best_ddg,gh_family,GH10
,1,0.287,0.287,,0.287,0.287,duet_best_ddg,gh_family,GH11
bacterial,20,-1.9896999999999998,-2.1755,0.812911343647989,-3.529,-0.504,duet_worst_ddg,organism_type,
,19,-2.0096842105263155,-2.194,0.8301242244809962,-3.529,-0.504,duet_worst_ddg,gh_family,GH10
,1,-1.61,-1.61,,-1.61,-1.61,duet_worst_ddg,gh_family,GH11
bacterial,20,-0.75305,-0.6970000000000001,0.4644107613558905,-1.6594,-0.0038,duet_mean_ddg,organism_type,
,19,-0.7509052631578946,-0.6172,0.4770349270623975,-1.6594,-0.0038,duet_mean_ddg,gh_family,GH10
,1,-0.7938,-0.7938,,-0.7938,-0.7938,duet_mean_ddg,gh_family,GH11
bacterial,20,1490.0,1490.0,0.0,1490.0,1490.0,duet_n_tested,organism_type,
,19,1490.0,1490.0,0.0,1490.0,1490.0,duet_n_tested,gh_family,GH10
,1,1490.0,1490.0,,1490.0,1490.0,duet_n_tested,gh_family,GH11
bacterial,20,372.5,298.0,271.31870946409714,0.0,894.0,duet_n_stabilizing,organism_type,
,19,376.42105263157896,298.0,278.1706741851272,0.0,894.0,duet_n_stabilizing,gh_family,GH10
,1,298.0,298.0,,298.0,298.0,duet_n_stabilizing,gh_family,GH11
bacterial,88,0.37744061333025575,0.3287301233733519,0.3295684098058296,0.0,1.0,score_thermoprot,organism_type,
fungal,67,0.46355880264809035,0.4507298028212765,0.3051690645592322,0.0032257920170971,0.9979429021151722,score_thermoprot,organism_type,
,78,0.2485872799901194,0.11241804119080476,0.27668827540556135,0.0,1.0,score_thermoprot,gh_family,GH10
,77,0.5829013754708473,0.6037012755426687,0.2727180192849236,0.0336173155171436,0.9979429021151722,score_thermoprot,gh_family,GH11
bacterial,7,0.3242630385487528,0.2063492063492063,0.31797011221411176,0.0,1.0,score_opt_temp,organism_type,
fungal,4,0.22619047619047614,0.2063492063492063,0.09986553485807868,0.1269841269841269,0.365079365079365,score_opt_temp,organism_type,
,4,0.24603174603174596,0.246031746031746,0.10245987688379411,0.1269841269841269,0.365079365079365,score_opt_temp,gh_family,GH10
,7,0.31292517006802717,0.2063492063492063,0.32097450267786476,0.0,1.0,score_opt_temp,gh_family,GH11
bacterial,20,0.29522573949143743,0.25791385573430203,0.2266980722014341,0.0,1.0,score_duet,organism_type,
,19,0.2962882036435146,0.2553191489361702,0.23285896392318145,0.0,1.0,score_duet,gh_family,GH10
,1,0.275038920601972,0.275038920601972,,0.275038920601972,0.275038920601972,score_duet,gh_family,GH11
bacterial,20,0.51875,0.5330882352941176,0.30457862307507855,0.0,1.0,score_dbd2,organism_type,
,19,0.5375386996904025,0.551470588235294,0.300781281309431,0.0,1.0,score_dbd2,gh_family,GH10
,1,0.1617647058823529,0.1617647058823529,,0.1617647058823529,0.1617647058823529,score_dbd2,gh_family,GH11
bacterial,80,0.6138613272016645,0.6220853445186856,0.16694865536188802,0.0,0.9240774643858344,score_docking,organism_type,
fungal,65,0.6432332221453483,0.6452046817082755,0.14895092976587979,0.3072311736489802,0.9271812791891624,score_docking,organism_type,
,73,0.6039347140350478,0.578229002622696,0.16549902378565473,0.0,0.9240774643858344,score_docking,gh_family,GH10
,72,0.6504421040419764,0.6760220234205859,0.15022357670654876,0.2812121914718715,0.9271812791891624,score_docking,gh_family,GH11
bacterial,80,0.3078174410447358,0.25666180994010035,0.20179653966432556,0.0,1.0,score_hbond_proxy,organism_type,
fungal,65,0.1500462841890719,0.1274189196481571,0.06965535177488197,0.0022125087690896,0.318094004640872,score_hbond_proxy,organism_type,
,73,0.33221088986023417,0.2671307538718903,0.19400085026866948,0.0,1.0,score_hbond_proxy,gh_family,GH10
,72,0.14065289994543673,0.11595164858885104,0.07318581579550573,0.0563056499919054,0.4781932977173385,score_hbond_proxy,gh_family,GH11
bacterial,80,0.11221324121277162,0.06610544674000529,0.16807947216572217,0.0,1.0,score_salt_bridge_proxy,organism_type,
fungal,65,0.01578656787269608,0.007110276361685,0.017001845119137295,6.707807888382076e-05,0.0713710759323853,score_salt_bridge_proxy,organism_type,
,73,0.12244230366338194,0.0713710759323853,0.17005427024442044,0.0,1.0,score_salt_bridge_proxy,gh_family,GH10
,72,0.014790250573890181,0.0053997853501475,0.03389015295816781,0.0012074054199087,0.2665682854843037,score_salt_bridge_proxy,gh_family,GH11
bacterial,88,1.0,1.0,0.0,1.0,1.0,score_disulfide_count,organism_type,
fungal,67,1.0,1.0,0.0,1.0,1.0,score_disulfide_count,organism_type,
,78,1.0,1.0,0.0,1.0,1.0,score_disulfide_count,gh_family,GH10
,77,1.0,1.0,0.0,1.0,1.0,score_disulfide_count,gh_family,GH11
bacterial,88,0.7480032211487789,0.7662866703169334,0.12848029771836353,0.0,1.0,score_instability,organism_type,
fungal,67,0.7960710705212368,0.7787547302944032,0.08273937894322675,0.6351196340580975,0.9780427141271122,score_instability,organism_type,
,78,0.71770063639745,0.7367302773838371,0.1209923913684317,0.0,0.9362271864468802,score_instability,gh_family,GH10
,77,0.8205246174936924,0.8243039721883401,0.07599726933432313,0.6890474357502455,1.0,score_instability,gh_family,GH11
bacterial,88,0.5718192199349308,0.5223268459463501,0.13255542519759467,0.25,0.9209868080755568,score_structure,organism_type,
fungal,67,0.5027130535816818,0.4950181578781486,0.07416485438527279,0.4362107899561979,0.9028693876911844,score_structure,organism_type,
,78,0.5631992117705966,0.5201484197976296,0.12460253206613939,0.25,0.9209868080755568,score_structure,gh_family,GH10
,77,0.5204198367031178,0.492395513222305,0.10304327188097546,0.4388312699498977,0.908531179561844,score_structure,gh_family,GH11
bacterial,88,0.5063597204717367,0.48182930464769913,0.1394767367457678,0.2552422790674493,0.9225868160010507,composite_score,organism_type,
fungal,67,0.531955489906574,0.5013947116241901,0.13149691322416932,0.303200901529722,0.7856015072272966,composite_score,organism_type,
,78,0.4572309259876003,0.42021883669867977,0.11521793537264412,0.2552422790674493,0.8833723215147072,composite_score,gh_family,GH10
,77,0.578398194782084,0.6008694555879028,0.12914495367255022,0.3049868222864521,0.9225868160010507,composite_score,gh_family,GH11
bacterial,88,82.31818181818181,82.5,44.32703579536245,1.0,155.0,composite_rank,organism_type,
fungal,67,72.32835820895522,72.0,45.32187513161277,4.0,152.0,composite_rank,organism_type,
,78,98.53846153846153,106.5,39.60640519748456,2.0,155.0,composite_rank,gh_family,GH10
,77,57.1948051948052,50.0,40.27701413207987,1.0,151.0,composite_rank,gh_family,GH11
bacterial,88,0.20454545454545456,0.0,0.4056806656815641,0.0,1.0,xylanase_candidate_label,organism_type,
fungal,67,0.31343283582089554,0.0,0.4673897609088611,0.0,1.0,xylanase_candidate_label,organism_type,
,78,0.10256410256410256,0.0,0.3053524082762296,0.0,1.0,xylanase_candidate_label,gh_family,GH10
,77,0.4025974025974026,0.0,0.49363688603701655,0.0,1.0,xylanase_candidate_label,gh_family,GH11
bacterial,20,0.32589999999999997,0.254,0.43684718513216353,-0.243,1.684,duet_best_ddg_mut,organism_type,
,19,0.3279473684210526,0.249,0.4487192234799706,-0.243,1.684,duet_best_ddg_mut,gh_family,GH10
,1,0.287,0.287,,0.287,0.287,duet_best_ddg_mut,gh_family,GH11
bacterial,20,-1.9896999999999998,-2.1755,0.812911343647989,-3.529,-0.504,duet_worst_ddg_mut,organism_type,
,19,-2.0096842105263155,-2.194,0.8301242244809962,-3.529,-0.504,duet_worst_ddg_mut,gh_family,GH10
,1,-1.61,-1.61,,-1.61,-1.61,duet_worst_ddg_mut,gh_family,GH11
bacterial,20,-0.75305,-0.6970000000000001,0.4644107613558905,-1.6594,-0.0038000000000000256,duet_mean_ddg_mut,organism_type,
,19,-0.7509052631578947,-0.6172,0.4770349270623975,-1.6594,-0.0038000000000000256,duet_mean_ddg_mut,gh_family,GH10
,1,-0.7938,-0.7938,,-0.7938,-0.7938,duet_mean_ddg_mut,gh_family,GH11
bacterial,20,1490.0,1490.0,0.0,1490.0,1490.0,duet_n_tested_mut,organism_type,
,19,1490.0,1490.0,0.0,1490.0,1490.0,duet_n_tested_mut,gh_family,GH10
,1,1490.0,1490.0,,1490.0,1490.0,duet_n_tested_mut,gh_family,GH11
bacterial,20,372.5,298.0,271.31870946409714,0.0,894.0,duet_n_stabilizing_mut,organism_type,
,19,376.42105263157896,298.0,278.1706741851272,0.0,894.0,duet_n_stabilizing_mut,gh_family,GH10
,1,298.0,298.0,,298.0,298.0,duet_n_stabilizing_mut,gh_family,GH11
bacterial,20,0.6845,0.665,0.4142269273821066,0.03,1.39,dbd2_score_mut,organism_type,
,19,0.6589473684210526,0.64,0.4090625425808259,0.03,1.39,dbd2_score_mut,gh_family,GH10
,1,1.17,1.17,,1.17,1.17,dbd2_score_mut,gh_family,GH11
bacterial,80,-5.7643125,-5.88,0.6747962579291544,-7.255,-3.405,vina_xylobiose_score_dock,organism_type,
fungal,65,-5.9042615384615384,-5.926,0.5549900414906974,-7.046,-4.73,vina_xylobiose_score_dock,organism_type,
,73,-5.753054794520548,-5.793,0.6323892720471344,-7.255,-3.405,vina_xylobiose_score_dock,gh_family,GH10
,72,-5.902069444444445,-6.0495,0.6142561590349443,-7.046,-4.69,vina_xylobiose_score_dock,gh_family,GH11
bacterial,80,-7.528125,-7.588,0.8506245862358205,-9.189,-4.876,vina_xylotriose_score_dock,organism_type,
fungal,65,-7.624707692307692,-7.665,0.775866949029377,-8.933,-5.559,vina_xylotriose_score_dock,organism_type,
,73,-7.455109589041095,-7.343,0.8706766774827087,-9.189,-4.876,vina_xylotriose_score_dock,gh_family,GH10
,72,-7.6893472222222226,-7.788,0.745423032550621,-8.933,-5.851,vina_xylotriose_score_dock,gh_family,GH11
bacterial,80,0.6128084415584416,0.6428571428571429,0.17527175530627395,0.0,1.0,vina_xylobiose_score_norm_dock,organism_type,
fungal,65,0.6491588411588411,0.6548051948051948,0.14415325753005123,0.3441558441558443,0.9457142857142858,vina_xylobiose_score_norm_dock,organism_type,
,73,0.6098843622131294,0.6202597402597403,0.1642569537784765,0.0,1.0,vina_xylobiose_score_norm_dock,gh_family,GH10
