metric_x,metric_y,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
vina_xylotriose_score_norm,xylanase_candidate_label,145,0.36713396435271795,5.565379488551319e-06,0.36049062446236546,8.428332698471782e-06,0.36713396435271795
xylanase_candidate_label,vina_xylotriose_score_dock,145,-0.36713396435271795,5.565379488551319e-06,-0.3604906244623655,8.428332698471667e-06,0.36713396435271795
xylanase_candidate_label,vina_xylotriose_score_norm_dock,145,0.36713396435271795,5.565379488551319e-06,0.36049062446236546,8.428332698471782e-06,0.36713396435271795
instability_index,composite_score,155,-0.3656815440833574,2.883684905767588e-06,-0.3431346380008584,1.237567500053687e-05,0.3656815440833574
instability_index,composite_rank,155,0.3656815440833574,2.883684905767588e-06,0.35494115971412116,5.8524448965409765e-06,0.3656815440833574
score_instability,composite_score,155,0.3656815440833574,2.883684905767588e-06,0.3431346380008584,1.237567500053687e-05,0.3656815440833574
score_instability,composite_rank,155,-0.3656815440833574,2.883684905767588e-06,-0.35494115971412105,5.85244489654106e-06,0.3656815440833574
aromaticity,predicted_pI,155,0.36242726789633856,3.5831342491083386e-06,0.39511722204872773,3.619955616777199e-07,0.36242726789633856
secondary_structure_fraction_sheet,composite_score,155,0.36140833437863396,3.833382014597973e-06,0.3918448136922637,4.6056342305065984e-07,0.36140833437863396
secondary_structure_fraction_sheet,composite_rank,155,-0.36140833437863396,3.833382014597973e-06,-0.3848876556948874,7.619504459008344e-07,0.36140833437863396
aromaticity,thermoprot_probability,155,0.3599951015995261,4.20804595369478e-06,0.34669319231466894,9.906446297950146e-06,0.3599951015995261
aromaticity,score_thermoprot,155,0.3599951015995261,4.20804595369478e-06,0.34669319231466894,9.906446297950146e-06,0.3599951015995261
length,thermoprot_probability,155,-0.3598086516701402,4.259994963618509e-06,-0.26058398888685447,0.0010575568674507205,0.3598086516701402
length,score_thermoprot,155,-0.3598086516701402,4.259994963618509e-06,-0.26058398888685447,0.0010575568674507205,0.3598086516701402
docking_score_mean_norm,xylanase_candidate_label,145,0.35923961979411,9.104095806502749e-06,0.3387741356918128,3.0727987017216614e-05,0.35923961979411
rank_docking,xylanase_candidate_label,145,-0.35923961979411,9.104095806502749e-06,-0.35923961979411,9.104095806502818e-06,0.35923961979411
score_docking,xylanase_candidate_label,145,0.35923961979411,9.104095806502749e-06,0.3387741356918128,3.0727987017216614e-05,0.35923961979411
xylanase_candidate_label,docking_score_mean_norm_dock,145,0.35923961979411,9.104095806502749e-06,0.3387741356918128,3.0727987017216614e-05,0.35923961979411
xylanase_candidate_label,rank_docking_dock,145,-0.35923961979411,9.104095806502749e-06,-0.35923961979411,9.104095806502818e-06,0.35923961979411
dbd2_score,score_structure,20,-0.35639097744360904,0.12298631080226878,-0.4428808854601032,0.05051169071134286,0.35639097744360904
score_dbd2,score_structure,20,0.35639097744360904,0.12298631080226878,0.442880885460103,0.05051169071134299,0.35639097744360904
score_structure,dbd2_score_mut,20,-0.35639097744360904,0.12298631080226878,-0.4428808854601032,0.05051169071134286,0.35639097744360904
optimum_pH_x,vina_xylotriose_score,20,-0.3508530737959566,0.12933632627239577,-0.4910235084589912,0.027916518412850568,0.3508530737959566
optimum_pH_x,vina_xylotriose_score_norm,20,0.3508530737959566,0.12933632627239577,0.49102350845899106,0.027916518412850568,0.3508530737959566
optimum_pH_x,vina_xylotriose_score_dock,20,-0.3508530737959566,0.12933632627239577,-0.4910235084589912,0.027916518412850568,0.3508530737959566
