feature,non_null,n_unique,mean,std,min,median,max,zeros
hbond_proxy,145,139,24699.8,16233.392231498216,2732.0,22436.0,95387.0,0
salt_bridge_proxy,145,116,2060.9310344827586,3993.86903344637,4.0,728.0,29820.0,0
disulfide_count,145,1,0.0,0.0,0.0,0.0,0.0,145
vina_xylobiose_score,145,137,-5.827048275862069,0.6257657900861516,-7.255,-5.892,-3.405,0
vina_xylotriose_score,145,142,-7.571420689655173,0.8165900956362303,-9.189,-7.608,-4.876,0
docking_score_mean_norm,145,145,0.6270280387281434,0.1592679262686669,0.0,0.6282970843207338,0.9271812791891624,1
rank_docking,145,145,73.0,42.00198408012015,1.0,73.0,145.0,0
