section,temperature_value,organism,uniprot,commentary,literature
temperature_range,45 - 85,Geobacillus stearothermophilus,-,"45°C: 28% of maximal activity, 85°C: 74% of 171651 maximal activity",
temperature_range,5 - 35,Pseudoalteromonas haloplanktis,Q8RJN8,60% of maximal activity at 5°C,656075
temperature_range,50,Streptomyces coelicolor,Q8CJQ1,98% of maximum activity,737481
temperature_range,663671,,769914,"8/12 Thermoascus aurantiacus - assay at, about 70% of maximum activity",742959
temperature_range,743330,,-,"50°C: about 50% of maximal activity, 100°C: maximal activity",751229
temperature_range,171636,50 - 55 Alternaria mali,-,-,695683
temperature_range,50 - 65,Acrophialophora nainiana,-,rapid decline of activity at 65°C,655620
temperature_range,737497,,A0A1V0DJ74,the enzyme retains more than 60% of its maximal activity at a temperature ranging from 50 to 70Â°C,775585
temperature_range,171606,,-,activity at 50°C is about 10% compared 737497 to the activity at 70°C - activity at 50°C is about 25% compared 737497 to the activity at 70°C - activity at 50°C is about 5% compared,737497
temperature_range,50 - 100,50 - 70 Bacillus subtilis Aspergillus niger Rhodothermaceae bacterium RA Streptomyces lividans Thermothelomyces heterothallicus Thermothelomyces thermophilus Trichoderma reesei,737497,"9/12 - 50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity A0LR95 about 60% activity at 50°C, about 750% activity at 60°C, 100% activity at 70°C,",750497
temperature_range,171621,,-,about 50% of maximal activity at 50°C and at 85°C,171643
temperature_range,707229,Pseudozyma hubeiensis,-,PhX20,707766
temperature_range,717123,Saccharolobus solfataricus,-,-,679721
temperature_range,60 - 65,Pseudozyma hubeiensis,-,PhX33,707766
temperature_range,60 - 80,Bacillus sp. (in: firmicutes),-,"60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity",171645
temperature_range,737932,50 - 75 50 - 80 Bacillus sp. (in: firmicutes) Acidothermus cellulolyticus Bacillus sp. (in: firmicutes) 50 - 85 55 - 60 60 - 100 Thermomyces lanuginosus Thermobifida fusca,171621,10/12,
temperature_range,60 - 90,Thermoclostridium stercorarium 65 - 75 Penicillium canescens,-,"60°C: about 50% of maximal activity, 90°C: about 20% of maximal activity",171661
temperature_range,729182,,750086,,
temperature_range,65 - 85,Streptomyces ipomoeae,MK331807,"65°C: about 45% of maximal activity, 85°C: about 50% of maximal activity",
temperature_range,70,bacterium enrichment culture clone Xyl8B8,H9ZGD1,65% residual activity,730872
temperature_range,738190,,748630,,
temperature_range,70 - 100,Thermotoga petrophila,A5IL00,"70°C: about 40% of maximal activity, 100°C: about 70% of maximal activity",
temperature_range,70 - 75,Thermomyces lanuginosus,-,-,171643
temperature_range,171601,70 - 85 Thermoascus aurantiacus,-,"70°C: about 70% of maximal activity, 85°C: about 10% of maximal activity",
temperature_range,75,Thermomyces lanuginosus,-,assay at,742214
temperature_range,80,Geobacillus stearothermophilus,-,9% of maximum activity,738190
temperature_range,731022,Thermomyces lanuginosus,-,rapid loss of activity above,742165
temperature_range,699053,80 - 90 Laetiporus sulphureus,-,,
temperature_range,80 - 95,Saccharolobus solfataricus,Q97YG7,"80°C: about 40% of maximal activity,",692258
temperature_range,85,Thermomyces lanuginosus,-,more than 50% of maximum activity,646829
temperature_range,655665,,-,temperaturedependence of activity of wild-type and mutant enzymes,656334
